product_id,product_key,sku,product_name,category,subcategory,brand,unit_of_measure,unit_cost_usd,unit_price_usd,gross_margin_pct,reorder_level,stock_quantity,product_status,launch_date,weight_kg,is_taxable,created_at,updated_at
1,PROD-00001,SKU-C4CA4238,PrimeSoft Implementation Any 800,Consulting,Implementation,ApexWorks,Hour,1327.04,2202.89,66.0,8,228,Active,2021-07-04,5.46,1,2019-01-14T02:58:27.695359,2024-08-30T03:30:37.907516
2,PROD-00002,SKU-C81E728D,CoreEdge Database Him 164,Cloud Services,Database,BluePeak,Subscription/Mo,85.64,137.88,61.0,14,21,Active,2023-10-26,15.58,1,2020-06-15T04:40:46.905998,2024-06-19T02:55:31.197360
3,PROD-00003,SKU-ECCBC87E,TechPro Networking Professional 764,Cloud Services,Networking,SwiftLine,Each,1836.21,3084.83,68.0,45,495,Pending,2017-10-10,19.04,1,2021-11-13T08:05:24.739827,2024-07-24T20:09:03.725358
4,PROD-00004,SKU-A87FF679,NexGen Printers So 474,Office Supplies,Printers,PrimeSoft,Each,1090.98,1363.72,25.0,33,128,Discontinued,2021-02-10,29.18,1,2023-02-27T00:17:10.507528,2024-09-14T03:47:53.921333
5,PROD-00005,SKU-E4DA3B7F,OmniTech Audit Magazine 911,Consulting,Audit,OmniTech,Hour,709.03,1184.08,67.0,0,256,Active,2019-11-01,13.25,1,2022-04-24T00:56:08.027571,2024-03-09T20:59:41.753002
6,PROD-00006,SKU-1679091C,ApexWorks Webcams Rather 261,Electronics,Webcams,SwiftLine,Hour,1288.74,1649.59,28.0,45,418,Active,2024-06-15,19.87,0,2023-09-19T13:59:31.534240,2024-06-02T04:25:45.884022
7,PROD-00007,SKU-8F14E45F,CoreEdge Paper Movie 704,Office Supplies,Paper,ApexWorks,GB,965.63,1390.51,44.0,1,124,Active,2015-08-24,3.92,1,2023-04-06T04:31:52.757132,2024-03-19T23:31:20.967814
8,PROD-00008,SKU-C9F0F895,TechPro Productivity Pretty 270,Software,Productivity,BluePeak,License,83.19,123.95,49.0,33,490,Discontinued,2019-09-15,18.02,1,2023-10-19T01:50:32.688943,2024-06-14T17:34:55.087968
9,PROD-00009,SKU-45C48CCE,OmniTech Paper Mean 988,Office Supplies,Paper,OmniTech,License,437.1,660.02,51.0,14,425,Discontinued,2021-12-03,18.07,1,2016-02-21T04:49:37.655841,2024-08-28T09:52:43.034366
10,PROD-00010,SKU-D3D94468,SwiftLine Strategy Seat 564,Consulting,Strategy,PrimeSoft,Hour,532.72,841.7,58.0,4,117,Discontinued,2017-12-08,11.63,1,2015-02-08T12:49:46.013257,2024-12-02T16:14:25.038570
11,PROD-00011,SKU-6512BD43,NexGen Monitors Focus 946,Electronics,Monitors,ApexWorks,Hour,1047.81,1781.28,70.0,6,90,Discontinued,2016-04-29,27.06,1,2016-08-13T07:22:29.617899,2024-03-03T11:44:42.257725
12,PROD-00012,SKU-C20AD4D7,ApexWorks Strategy Today 717,Consulting,Strategy,ClearPath,Each,1506.0,1822.26,21.0,49,347,Discontinued,2024-06-13,15.71,1,2015-11-20T11:08:22.190350,2024-08-13T17:21:02.993148
13,PROD-00013,SKU-C51CE410,OmniTech Webcams Until 908,Electronics,Webcams,NexGen,Subscription/Mo,860.77,1471.92,71.0,37,411,Pending,2022-12-02,3.02,1,2021-10-18T10:07:24.616078,2024-10-23T17:42:06.523453
14,PROD-00014,SKU-AAB32389,NovaSys Furniture Ask 390,Office Supplies,Furniture,PrimeSoft,Hour,1532.89,2605.91,70.0,26,131,Active,2019-02-12,0.26,1,2023-08-04T14:46:09.728251,2024-03-08T15:31:29.044491
15,PROD-00015,SKU-9BF31C7F,CoreEdge Strategy Easy 804,Consulting,Strategy,SwiftLine,GB,240.07,276.08,15.0,23,54,Active,2019-05-04,12.84,1,2017-11-27T01:45:07.939069,2024-01-06T06:37:49.302329
16,PROD-00016,SKU-C74D97B0,BluePeak Printers Vote 796,Office Supplies,Printers,NexGen,License,850.01,1164.51,37.0,26,282,Pending,2020-06-10,14.53,1,2021-02-09T06:28:19.991529,2024-04-23T11:04:26.894094
17,PROD-00017,SKU-70EFDF2E,PrimeSoft Strategy Executive 452,Consulting,Strategy,NexGen,License,970.1,1687.97,74.0,42,60,Active,2016-09-06,13.45,1,2022-03-01T07:40:30.980953,2024-07-21T07:19:43.758001
18,PROD-00018,SKU-6F4922F4,ClearPath Monitors Tonight 728,Electronics,Monitors,TechPro,License,1019.15,1651.02,62.0,24,493,Active,2017-09-15,24.15,1,2021-04-21T01:46:07.153892,2024-09-01T13:03:28.121789
19,PROD-00019,SKU-1F0E3DAD,CoreEdge AI/ML Coach 479,Cloud Services,AI/ML,NovaSys,Hour,873.58,1039.56,19.0,2,370,Discontinued,2021-12-06,27.93,0,2017-04-21T08:29:32.823729,2024-11-02T06:18:39.644985
20,PROD-00020,SKU-98F13708,TechPro Strategy Hold 892,Consulting,Strategy,ApexWorks,GB,576.51,997.36,73.0,28,5,Active,2015-01-27,25.53,1,2020-08-28T13:46:42.971512,2024-06-09T18:05:35.141730
21,PROD-00021,SKU-3C59DC04,CoreEdge CRM Have 729,Software,CRM,ApexWorks,Each,1569.0,2290.74,46.0,23,122,Active,2022-01-06,29.27,1,2023-10-31T17:06:34.715899,2024-02-13T04:38:48.020053
22,PROD-00022,SKU-B6D767D2,PrimeSoft Furniture Simply 305,Office Supplies,Furniture,ClearPath,Each,709.49,986.19,39.0,47,360,Active,2020-02-23,27.58,1,2021-03-10T16:41:27.830165,2024-12-24T15:13:10.509079
23,PROD-00023,SKU-37693CFC,BluePeak Strategy Keep 331,Consulting,Strategy,PrimeSoft,License,699.45,1210.05,73.0,29,476,Discontinued,2024-11-23,17.29,1,2015-01-28T17:36:05.674590,2024-10-20T18:58:29.299365
